outcome,period,ate_ES,ate_lower_ES,ate_upper_ES,pval_ES,ate_PT,ate_lower_PT,ate_upper_PT,pval_PT
DAA,07/2022 - 06/2023,-44.028309519336986,-55.2857787194421,-33.556705850223075,1.999600079984003e-4,-43.08749315053385,-55.139758134072466,-32.37162120944353,1.999600079984003e-4
DAA,07/2022 - 12/2022,-54.41676957792114,-63.9025336530829,-46.28555942877446,1.999600079984003e-4,-54.2921092789483,-64.17841633121967,-45.93072696645864,7.998400319936012e-4
DAA,01/2023 - 06/2023,-33.63984946075284,-46.66902378580129,-20.82785227167168,5.998800239952009e-4,-31.88287702211941,-46.101099936925266,-18.812515452428414,0.0017996400719856
NRG,07/2022 - 06/2023,-18.92135738446133,-36.11550458754868,-5.058550067048911,0.01159768046390721,-6.534495933870058,-11.27701530945193,-2.3226926256780462,1.999600079984003e-4
NRG,07/2022 - 12/2022,-20.29305400861724,-37.33974143383767,-6.227133732845634,0.0053989202159568,0.7726294245831268,-3.866949703293146,5.1536236925017676,0.45830833833233353
NRG,01/2023 - 06/2023,-17.549660760305418,-34.89126774125969,-3.8899664012521873,0.05298940211957608,-13.841621292323243,-18.687080915610714,-9.79900894385786,1.999600079984003e-4
CP00,07/2022 - 06/2023,-3.3126401370696885,-5.33156537951118,-1.8825148836712315,0.05338932213557288,-1.1465049528755051,-2.743849779743629,0.4322450924442991,0.05938812237552489
CP00,07/2022 - 12/2022,-2.979306297781847,-4.71255226703239,-1.6717825009543432,5.998800239952009e-4,-1.3132847761406494,-2.952100804405908,0.2802454775051579,0.23515296940611877
CP00,01/2023 - 06/2023,-3.6459739763575305,-5.950578491989971,-2.0932472663881194,0.38092381523695257,-0.9797251296103607,-2.53559875508135,0.5842447073834403,0.00879824035192961
TOT_X_NRG,07/2022 - 06/2023,-1.3129711263152954,-2.217145074115555,-0.32664299649550016,0.3977204559088182,-0.016735906933828322,-1.370209220020577,1.4199550374883925,0.4715056988602279
TOT_X_NRG,07/2022 - 12/2022,-1.1178721620133583,-1.9294415575872457,-0.23691417447451923,0.03619276144771045,-0.1789090647624533,-1.5159208391253178,1.2057229210749931,0.8232353529294141
TOT_X_NRG,01/2023 - 06/2023,-1.5080700906172326,-2.504848590643864,-0.41637181851648103,0.6062787442511497,0.14543725089479667,-1.2244976009158364,1.6341871539017918,0.30513897220555886
